Topic,Size,Total Domestic Gross,Total Worldwide Gross
Conspiracy Theory,101,"$1,678,593,139 ","$4,096,751,088 "
Novel or Other Work Adapted by Author,101,"$1,773,438,717 ","$3,829,331,540 "
Posthumous Release,101,"$4,565,099,965 ","$11,043,183,374 "
Miscellaneous Sports,100,"$1,243,313,050 ","$1,840,362,776 "
Investigative Journalist,99,"$1,147,710,206 ","$3,392,755,159 "
Adopted Family,98,"$3,851,973,368 ","$10,249,239,308 "
Homeless,98,"$1,155,750,447 ","$2,634,050,840 "
You Can't Go Home Again,98,"$690,723,637 ","$1,031,439,907 "
First Love,97,"$2,216,416,811 ","$5,663,749,221 "
Cross-Class Romance,96,"$2,880,572,327 ","$7,457,727,262 "
Hostage,96,"$3,004,617,031 ","$7,974,695,447 "
Private Investigator,95,"$1,957,087,285 ","$5,048,532,772 "
Inheritance,94,"$1,380,838,811 ","$2,786,813,252 "
Child Abuse,93,"$980,063,638 ","$2,142,400,793 "
Football,93,"$2,571,548,654 ","$3,297,682,899 "
Nazis,93,"$1,726,152,528 ","$3,796,948,896 "
Relationship Advice,93,"$2,021,011,358 ","$4,172,429,284 "
Sibling Rivalry,93,"$2,871,040,807 ","$7,919,208,017 "
Animals Gone Bad,92,"$5,453,350,464 ","$13,297,395,762 "
News,92,"$2,170,658,947 ","$3,841,757,424 "
Set in California,92,"$965,966,968 ","$1,633,646,113 "
1950s,91,"$678,046,635 ","$1,497,160,556 "
Escape,90,"$4,204,652,641 ","$10,730,597,985 "
Falsely Accused,90,"$1,519,772,049 ","$3,697,743,974 "
Unexpected Families,90,"$2,935,160,413 ","$6,293,806,248 "
Fashion,88,"$841,999,501 ","$1,873,509,475 "
Murder Mystery,88,"$803,377,935 ","$2,282,363,324 "
Set in London,88,"$2,728,443,604 ","$8,239,257,073 "
TV Industry,88,"$1,726,265,959 ","$2,935,706,090 "
Courtroom Drama,87,"$1,375,958,626 ","$2,602,061,040 "
Life on a Farm,87,"$760,238,130 ","$1,756,431,643 "
Sundance Film Festival 2019,87,"$120,287,295 ","$192,219,915 "
Wedding Day,87,"$1,494,096,573 ","$3,057,104,371 "
Cross-Dressing,86,"$2,879,116,822 ","$5,152,059,838 "
Hispanic,86,"$424,316,366 ","$867,153,065 "
Photography,86,"$388,799,246 ","$694,582,212 "
Set in Paris,86,"$336,215,726 ","$1,320,229,292 "
End of the World,85,"$6,913,201,507 ","$19,842,581,448 "
Autobiographical,84,"$1,011,735,043 ","$1,768,411,818 "
1930s,83,"$1,240,424,351 ","$3,132,836,261 "
Buddy Comedy,83,"$5,038,073,288 ","$9,158,267,951 "
Domestic Abuse,83,"$690,064,017 ","$1,657,127,451 "
Extreme Weather,83,"$2,105,991,994 ","$6,183,257,597 "
"Same Role, Multiple Actors",83,"$3,876,545,657 ","$10,555,362,095 "
Set in China,82,"$118,870,361 ","$3,781,193,765 "
Sundance Film Festival 2018,82,"$178,172,250 ","$268,281,881 "
1800s,81,"$536,265,330 ","$1,313,361,360 "
Betrayal,81,"$3,191,477,898 ","$9,021,140,078 "
Film Actor,80,"$487,991,659 ","$1,111,299,969 "
Step-Family,80,"$1,797,652,889 ","$4,381,638,407 "
Underdog,80,"$1,666,766,898 ","$3,476,796,627 "
Cabin in the Woods,79,"$418,573,576 ","$946,027,107 "
Digital Cinematography,79,"$2,214,258,501 ","$5,742,713,284 "
Retirement,79,"$738,559,454 ","$2,505,991,251 "
Unrequited Love,79,"$1,748,960,570 ","$5,106,026,334 "
Big Break,78,"$992,119,981 ","$2,562,519,542 "
Good vs. Evil,78,"$7,962,119,922 ","$20,736,138,195 "
D.C. Comics,77,"$6,079,951,860 ","$13,524,646,304 "
Dystopia,77,"$3,817,588,631 ","$9,634,135,148 "
FBI,77,"$2,167,610,647 ","$4,791,033,890 "
New Guy/Girl in School,77,"$2,439,909,235 ","$4,875,476,160 "
Stand-Up Comedy,77,"$554,688,026 ","$1,313,674,194 "
Underwater,77,"$4,311,782,454 ","$10,701,423,908 "
Romantic Drama,76,"$6,229,687,574 ","$13,970,616,973 "
Treasure Hunters,76,"$5,187,764,198 ","$14,504,266,766 "
Actors Making Their Directorial Debut,75,"$892,724,412 ","$1,512,707,439 "
Animated Sequences,75,"$872,025,903 ","$1,760,164,886 "
Comedy Drama,75,"$3,896,198,560 ","$6,596,316,448 "
Basketball,74,"$1,045,828,782 ","$1,405,109,693 "
Inspirational Teacher,74,"$855,172,388 ","$1,827,180,992 "
Baseball,73,"$1,404,377,491 ","$1,759,084,385 "
Foreign-Language Remake,73,"$1,394,531,851 ","$3,295,261,356 "
Trapped,73,"$1,310,049,071 ","$3,652,423,288 "
Vigilante,73,"$2,394,054,249 ","$5,559,199,223 "
Found Footage,72,"$1,094,792,970 ","$2,218,049,332 "
Inventor,71,"$3,594,822,565 ","$8,905,212,999 "
PTSD,71,"$1,791,812,741 ","$4,841,254,270 "
Therapists / Therapy,71,"$989,900,179 ","$1,783,555,844 "
Vietnam War,71,"$1,967,935,970 ","$3,489,688,706 "
White Collar Crime,71,"$1,310,639,674 ","$2,656,982,930 "
Academics,70,"$2,530,066,800 ","$5,544,540,374 "
Marvel Comics,70,"$14,969,753,186 ","$38,917,617,716 "
Psychics,70,"$2,076,202,074 ","$5,305,111,887 "
Supernatural Horror,70,"$3,805,932,059 ","$7,944,793,411 "
Retro Black and White,69,"$494,998,807 ","$1,121,777,172 "
Crime,68,"$757,503,207 ","$1,519,274,788 "
Father’s Footsteps,68,"$1,470,116,083 ","$4,090,834,841 "
Short Film,68,"$417,894,851 ","$568,015,306 "
Cannibalism,67,"$1,008,983,983 ","$2,142,904,664 "
Christmas in November,67,"$2,706,077,238 ","$4,570,534,787 "
Inspirational Sports,67,"$1,322,711,518 ","$2,002,987,404 "
Set in Japan,67,"$211,455,909 ","$1,349,219,738 "
Curses,66,"$2,045,161,375 ","$4,363,655,726 "
Family Secrets,66,"$1,092,635,158 ","$2,397,969,091 "
Holocaust,65,"$318,535,847 ","$918,386,489 "
In-Laws / Future In-Laws,65,"$2,629,253,986 ","$5,693,387,269 "
Strippers / Stripping,65,"$676,122,191 ","$1,146,358,763 "
Delayed Release,64,"$315,086,994 ","$834,678,693 "
Set in England,64,"$1,963,431,435 ","$4,928,026,195 "
War Crimes,64,"$589,617,786 ","$1,395,134,824 "
Buddy Cop,63,"$3,839,405,053 ","$7,253,576,444 "
Rehab / Former Addict,63,"$437,409,532 ","$729,650,128 "
Soccer,63,"$360,924,441 ","$789,500,831 "
Based on an UNTRUE Story,62,"$1,324,399,880 ","$2,800,921,491 "
Body Horror,62,"$405,176,241 ","$1,129,752,579 "
Wrongfully Convicted,62,"$1,574,769,362 ","$3,404,630,608 "
Arranged Marriage,61,"$1,164,316,309 ","$3,188,614,075 "
Ballet,61,"$193,069,614 ","$596,770,922 "
Christians,61,"$785,491,158 ","$1,009,584,951 "
Haunted House,61,"$494,378,443 ","$1,091,653,078 "
Mockumentary,61,"$291,400,950 ","$523,401,369 "
Mutants,61,"$4,316,382,142 ","$10,410,784,255 "
Native Americans,61,"$1,155,618,174 ","$2,605,367,810 "
Runaway,61,"$1,517,247,045 ","$3,374,793,174 "
Werewolf,61,"$2,906,054,955 ","$7,585,185,557 "
Prince/Princess,60,"$3,983,395,921 ","$10,923,889,163 "
Unexpected Pregnancy,60,"$707,335,919 ","$1,630,316,917 "
Out of Retirement,59,"$952,226,756 ","$3,828,242,323 "
Prison Break,59,"$3,113,609,452 ","$8,046,094,975 "
Car Chase,58,"$3,621,455,202 ","$10,633,589,250 "
Class Warfare,58,"$1,318,945,932 ","$2,837,041,833 "
Mistaken Identity,58,"$1,659,159,890 ","$4,198,847,777 "
Porn Business,58,"$178,264,322 ","$348,911,853 "
Suicide Attempt,58,"$637,326,692 ","$1,190,193,260 "
1700s,57,"$2,043,049,759 ","$4,649,747,673 "
Biographical Drama,57,"$5,103,642,784 ","$8,974,317,900 "
"Country Mouse, City Mouse",57,"$1,365,878,313 ","$3,275,954,045 "
Cults,57,"$273,116,812 ","$623,614,408 "
Prequel,57,"$6,040,471,914 ","$17,155,432,789 "
Smuggler,57,"$1,326,015,953 ","$3,609,278,386 "
World War I,57,"$1,284,549,193 ","$2,566,827,334 "
1920s,56,"$678,615,639 ","$2,192,761,936 "
Comeback,56,"$1,083,666,389 ","$2,130,042,396 "
Cover Up,56,"$861,134,431 ","$1,876,900,036 "
In a Plane,56,"$2,049,136,440 ","$3,871,824,082 "
Modern Adaptation,56,"$661,951,586 ","$1,384,665,073 "
Muslims,56,"$110,194,729 ","$295,156,638 "
Reality TV,56,"$824,048,495 ","$1,641,290,846 "
Slow Motion Scene,56,"$3,337,576,524 ","$8,938,238,489 "
Teachers,56,"$237,676,088 ","$530,022,776 "
Texas,56,"$222,635,616 ","$296,563,167 "
1910s,55,"$1,085,058,182 ","$2,195,934,706 "
Framed,55,"$2,108,597,692 ","$5,616,777,926 "
Marooned,55,"$2,387,563,477 ","$6,042,524,907 "
Politicians,55,"$735,443,393 ","$1,535,768,207 "
Slavery,55,"$1,416,055,858 ","$3,304,515,118 "
Troubled Pregnancy or Miscarriage,55,"$690,003,632 ","$1,470,982,624 "
C.I.A.,54,"$1,545,056,729 ","$3,829,951,731 "
Divorcée Romance,54,"$772,570,246 ","$1,142,330,812 "
Epidemic,54,"$943,891,133 ","$2,489,481,533 "
Live Action Cartoon,54,"$5,189,717,099 ","$13,684,441,633 "
Psychological Horror,54,"$1,309,708,978 ","$2,365,860,996 "
Secret Identity,54,"$4,394,355,130 ","$10,719,477,200 "
Space Program,54,"$1,755,062,205 ","$4,333,480,748 "
The Past Catching up with You,54,"$616,172,576 ","$2,119,474,239 "
Torture Porn,54,"$458,393,407 ","$951,893,003 "
Boarding School,53,"$2,902,569,013 ","$8,953,319,876 "
One Location,53,"$243,443,787 ","$633,595,023 "
Set in Italy,53,"$312,726,585 ","$779,506,724 "
Military Life,52,"$985,175,525 ","$1,249,534,221 "
On a Boat,52,"$1,555,714,427 ","$5,499,349,791 "
Rags to Riches,52,"$1,160,624,052 ","$2,030,710,834 "
Blackmail,51,"$416,898,127 ","$669,402,202 "
Civil War,51,"$1,775,263,298 ","$3,908,866,000 "
Closeted Homosexual,51,"$402,199,849 ","$706,284,437 "
Near Future,51,"$1,110,248,982 ","$3,135,724,248 "
Occult,51,"$1,009,669,319 ","$2,114,072,405 "
Political Campaign,51,"$550,024,858 ","$794,556,141 "
Mad Scientist,50,"$2,623,978,646 ","$6,601,716,163 "
Theater,50,"$390,328,252 ","$906,861,206 "
Witches,50,"$1,515,945,993 ","$4,152,262,208 "
Action Thriller,49,"$2,663,474,423 ","$6,398,111,699 "
Afghanistan War,49,"$816,208,334 ","$1,313,767,367 "
Friendly Alien on Earth,49,"$4,478,150,048 ","$10,686,137,228 "
High School Hell,49,"$616,188,925 ","$923,271,540 "
Obsessive Love,49,"$487,010,875 ","$1,049,255,519 "
One Last Job,49,"$1,165,098,000 ","$2,871,101,092 "
Tournament,49,"$771,287,644 ","$1,355,264,873 "
Wheelchair User,49,"$1,121,426,669 ","$4,207,035,379 "
Auto Racing,48,"$2,065,283,263 ","$4,514,348,789 "
Boss From Hell,48,"$1,774,966,046 ","$3,105,603,355 "
Creature Feature,48,"$2,851,910,151 ","$7,350,031,349 "
Funeral Reunions,48,"$677,284,657 ","$922,723,757 "
Isolation Horror,48,"$911,854,404 ","$1,856,207,964 "
Set in Canada,48,"$104,788,658 ","$171,000,588 "
Tween,48,"$1,425,265,624 ","$2,193,215,055 "
Vacation,48,"$720,861,971 ","$1,655,896,939 "
Assassination,47,"$1,961,728,621 ","$5,558,365,758 "
Crowdfunding,47,"$53,656,392 ","$164,001,396 "
Living Toys,47,"$3,295,051,840 ","$7,409,516,811 "
Opera,47,"$52,904,362 ","$178,239,942 "
Pirates,47,"$3,094,571,895 ","$10,249,328,857 "
Relatives Playing Relatives,47,"$1,138,819,814 ","$2,111,121,888 "
Set in Africa,47,"$1,095,612,086 ","$3,287,344,366 "
Tortured for Information,47,"$1,441,072,889 ","$3,399,039,258 "
Political Assassination,46,"$1,189,233,829 ","$2,690,548,942 "
Drug Dealer,45,"$172,349,454 ","$477,480,667 "
Faked Death,45,"$3,496,376,197 ","$9,748,409,594 "
Professional Rivalry,45,"$1,409,507,371 ","$3,057,336,903 "
Set in Mexico,45,"$824,853,553 ","$2,562,250,032 "
Artificial Intelligence,44,"$2,288,387,807 ","$6,446,722,857 "
Blindness,44,"$260,801,998 ","$487,912,827 "
Filmed in United States,44,"$17,944,865,229 ","$46,318,795,420 "
Improvised,44,"$1,092,498,940 ","$1,766,971,739 "
Juvenile Delinquent,44,"$340,861,012 ","$726,035,341 "
Set in Russia,44,"$759,592,838 ","$1,900,850,942 "
Sexual Fetishism,44,"$429,236,087 ","$1,447,430,512 "
Split Screen,44,"$1,147,411,846 ","$2,836,911,857 "
Writer's Block,44,"$486,708,588 ","$1,005,800,249 "
Incest,43,"$152,090,438 ","$248,031,753 "
Redemption,43,"$911,542,487 ","$2,423,829,014 "
Set in Hollywood,43,"$868,270,140 ","$2,374,379,198 "
Sports Drama,43,"$2,319,306,514 ","$3,875,298,940 "
Video Game,43,"$1,277,056,046 ","$3,123,565,804 "
Young Adult Book Adaptation,43,"$3,976,778,398 ","$9,317,307,528 "
Anxiety and Phobias,42,"$320,334,793 ","$656,569,962 "
Australia,42,"$169,948,949 ","$481,359,368 "
Black Out Drunk,42,"$1,140,888,286 ","$2,376,342,736 "
Going Legit,42,"$333,459,204 ","$728,783,696 "
Hip Hop and Rap,42,"$304,799,002 ","$437,524,536 "
Missing Child,42,"$398,201,703 ","$795,623,796 "
Paranormal Investigation,42,"$1,086,831,527 ","$2,281,739,756 "
TV Special,42,$0 ,"$3,220,727 "
Cult Movie,41,"$147,772,782 ","$215,129,504 "
Human Experimentation,41,"$1,119,309,803 ","$2,874,612,855 "
Mental Hospital,41,"$745,302,087 ","$1,525,196,018 "
Olympics,41,"$456,581,326 ","$897,786,277 "
Punk Rock,41,"$78,955,370 ","$157,661,814 "
Ex-soldier,40,"$425,101,994 ","$1,183,370,814 "
Farcical / Slapstick Comedy,40,"$2,084,400,363 ","$2,973,368,275 "
Limited Dialogue,40,"$234,804,034 ","$537,541,719 "
Mute,40,"$368,587,241 ","$983,680,193 "
Oscars Best Picture Winner,40,"$4,876,116,103 ","$11,928,257,449 "
Set in Brooklyn,40,"$362,356,657 ","$1,003,380,701 "
Set in Germany,40,"$388,240,870 ","$1,102,158,396 "
Sundance Film Festival 2014,40,"$28,623,188 ","$62,041,106 "
Adult Child Dealing with the Death of a Parent,39,"$1,518,609,116 ","$3,233,731,697 "
Cinema Verite,39,"$3,088,163 ","$10,776,447 "
Cloning,39,"$3,678,257,780 ","$9,200,861,012 "
Family Vacations,39,"$1,233,187,031 ","$2,534,349,764 "
Human-Trafficking,39,"$163,165,164 ","$335,522,816 "
Jazz,39,"$406,188,781 ","$954,222,150 "
Nightmare,39,"$735,179,045 ","$2,272,726,482 "
One Night Stand,39,"$256,256,909 ","$470,160,621 "
Refugee,39,"$54,378,006 ","$225,118,534 "
Sequels Without Their Original Stars,39,"$2,496,565,181 ","$7,309,523,236 "
Set in South Korea,39,"$715,262,931 ","$2,212,097,410 "
Special Ops,39,"$2,077,319,834 ","$5,798,892,631 "
Unbelieving Police,39,"$757,115,764 ","$1,551,572,146 "
Celebrity Worship,38,"$147,964,917 ","$293,047,774 "
Cold War,38,"$1,300,335,712 ","$2,959,195,653 "
Fictionalized Version of Yourself,38,"$603,841,080 ","$1,131,507,180 "
Inspirational Coach,38,"$670,114,946 ","$1,087,324,371 "
Movie Director,38,"$72,848,521 ","$172,836,967 "
Rebellion,38,"$3,015,451,059 ","$7,163,307,579 "
Research Scientist,38,"$375,973,532 ","$700,192,391 "
1890s,37,"$491,992,936 ","$1,163,253,582 "
Abandoned Child,37,"$584,534,200 ","$1,689,672,026 "
Aspiring Actress / Actor,37,"$549,619,543 ","$1,295,915,866 "
Camping,37,"$338,046,974 ","$457,068,365 "
Director Remaking Their Own Movie,37,"$343,380,348 ","$697,857,042 "
One Day,37,"$238,220,713 ","$419,921,982 "
Riches to Rags,37,"$381,343,358 ","$651,607,423 "
Set in Chicago,37,"$352,635,283 ","$474,564,730 "
Sundance Film Festival 2015,37,"$61,613,933 ","$83,066,395 "
Surfing,37,"$151,787,864 ","$271,492,836 "
Wedding Day Disasters,37,"$833,756,488 ","$1,874,668,882 "
Autism,36,"$201,090,654 ","$429,720,573 "
Body Swap,36,"$789,963,136 ","$2,352,876,446 "
Corporate Life,36,"$747,914,271 ","$1,622,242,136 "
Fantasy Sequence,36,"$1,198,795,281 ","$2,686,958,839 "
Loss Of Virginity,36,"$525,497,194 ","$1,205,888,208 "
Mercenaries,36,"$1,685,325,252 ","$5,190,529,599 "
Nightclub,36,"$633,013,863 ","$1,546,081,542 "
Secret Magic,36,"$2,077,952,732 ","$5,946,820,520 "
Wrestling,36,"$498,646,203 ","$954,243,946 "
Architecture,35,"$325,927,833 ","$504,540,677 "
Dragon,35,"$3,290,634,924 ","$10,168,091,381 "
Foster Family,35,"$856,100,113 ","$1,809,843,454 "
Home Invasion,35,"$316,689,188 ","$470,174,118 "
May / December Romance,35,"$238,205,277 ","$470,593,510 "
